x,y
0,2.34
0.5,2.31
1,2.31
1.5,2.33
2,2.4
2.5,2.47
3,2.56
3.5,2.68
4,2.9
4.5,3.32
5,5.1
5.5,5.81
6,6.17
6.5,6.38
7,6.56
7.5,6.73
8,6.9
8.5,7.12
9,7.39
9.5,7.68
10,8.4
10.5,10.23
11,10.71
11.5,10.94
12,11.1
12.5,11.21
13,11.29
13.5,11.37
14,11.47
14.5,11.5
15,11.55
15.5,11.58
16,11.59
16.5,11.68
17,11.68
17.5,11.71
18,11.74
18.5,11.76
19,11.76
19.5,11.81
20,11.82
