x,y
0,2.43
1,2.64
2,2.88
3,3.14
4,3.42
4.5,3.57
5,3.73
5.5,3.87
6,4.03
6.5,4.16
7,4.3
7.5,4.5
8,4.56
8.5,4.69
9,4.84
9.5,4.98
10,5.13
10.5,5.28
11,5.41
11.5,5.56
12,5.7
12.5,5.84
13,5.98
13.5,6.18
14,6.35
14.5,6.66
15,7.56
15.5,10.31
16,10.96
16.5,11.2
17,11.3
17.5,11.43
18,11.52
18.5,11.57
19,11.63
19.5,11.67
20,11.7
20.5,11.74
21,11.76
21.5,11.78
22,11.81
22.5,11.83
23,11.85
23.5,11.88
24,11.89
24.5,11.9
25,11.92
