x,y
0,-245
1,-245
2,-241
3,-237
4,-233
5,-228
6,-224
7,-217
8,-210
9,-201
10,-190
11,-165
12,-4
12.5,25
13,36
14,41
15,46
16,51
17,56
18,61
19,65
20,71
20.5,75
21,86
21.5,90
22,104
22.5,154
23,288
23.5,331
24,345
24.5,354
25,361
