x,y
0,142
1,144
2,147
3,150
4,153
5,157
6,160
7,165
8,169
9,174
10,180
10.5,184
11,187
11.5,192
12,198
12.5,203
13,210
13.5,222
14,246
14.5,297
15,313
15.5,318
16,322
16.5,327
17,331
18,336
19,341
20,346
