x,y
1,0.23
2,0.22
3,0.27
4,0.22
4.5,0.38
5,0.24
5.5,0.28
6,0.46
6.5,0.18
7,0.36
7.5,0.36
8,0.08
8.5,0.16
9,0.42
9.5,0.28
10,0.22
10.5,0.32
11,0.3
11.5,0.28
12,0.28
12.5,0.26
13,0.38
13.5,0.34
14,0.26
14.5,0.72
15,1.8
15.5,5.56
16,1.28
16.5,0.48
17,0.1
17.5,0.3
18,0.26
18.5,-0.08
19,0.12
19.5,0.24
20,-0.06
20.5,0.06
21,0.1
21.5,-0.02
22,0.06
22.5,0.08
23,0
23.5,0.16
24,-0.1
24.5,0.18
25,-0.02
