x,y
0.5,-0.2
1,0.04
1.5,0.14
2,0
2.5,0.18
3,0.3
3.5,0.16
4,0.5
4.5,0.82
5,3.54
5.5,1.38
6,0.8
6.5,0.28
7,0.4
7.5,0.36
8,0.44
8.5,0.36
9,0.54
9.5,0.52
10,1.46
10.5,3.62
11,1.1
11.5,0.36
12,0.36
12.5,0.2
13,0.26
13.5,0.04
14,0.34
14.5,-0.02
15,0.1
15.5,-0.02
16,0.12
16.5,0.14
17,-0.08
17.5,0.06
18,0.06
18.5,0.12
19,-0.04
19.5,0.24
20,-0.08
